"Name","Team","WHIP","playerid"
"Shane Greene","Tigers","1.37","10756"
"Jon Gray","Rockies","1.35","14916"
"Eric Skoglund","Royals","1.21","16155"
"Dylan Covey","White Sox","1.49","14825"
"Elieser Hernandez","Marlins","1.45","16933"
"Nick Kingham","Pirates","1.38","11694"
"Dan Otero","Indians","1.26","7385"
"Andrew Triggs","Athletics","1.33","13533"
"Luis Cessa","Yankees","1.43","13345"
"Matt Andriese","- - -","1.39","12022"
"John Axford","- - -","1.35","9059"
"Adam Plutko","Indians","1.32","15846"
"Oliver Drake","- - -","1.45","8823"
"Andrew Cashner","Orioles","1.58","8782"
"Tyler Chatwood","Cubs","1.80","4338"
"Sam Gaviglio","Blue Jays","1.44","12778"
"Sal Romano","Reds","1.43","13690"
"Clayton Richard","Padres","1.38","3551"
"Wandy Peralta","Reds","1.96","14295"
"Jimmy Yacabonis","Orioles","1.45","15157"
"Jake Faria","Rays","1.43","13699"
"Tanner Scott","Orioles","1.56","17586"
"Bryan Mitchell","Padres","1.75","11479"
"Trevor Hildenberger","Twins","1.38","17002"
"Tayron Guerrero","Marlins","1.62","11691"
"Dylan Bundy","Orioles","1.41","12917"
"Ryan Madson","- - -","1.41","1852"
"Jalen Beeks","- - -","1.50","17192"
"Marcus Stroman","Blue Jays","1.48","13431"
"Erick Fedde","Nationals","1.53","17425"
"Mike Wright","Orioles","1.62","12586"
"Felix Hernandez","Mariners","1.40","4772"
"Pierce Johnson","Giants","1.37","13435"
"Domingo German","Yankees","1.33","17149"
"Eddie Butler","- - -","1.57","13453"
"Marco Estrada","Blue Jays","1.42","1118"
"Michael Feliz","Pirates","1.51","11903"
"Daniel Norris","Tigers","1.47","13475"
"Danny Barnes","Blue Jays","1.68","11388"
"Jefry Rodriguez","Nationals","1.54","17018"
"Jason Vargas","Mets","1.41","8044"
"Bartolo Colon","Rangers","1.35","375"
"Jaime Garcia","- - -","1.54","8137"
"Corey Oswalt","Mets","1.38","13677"
"Yefry Ramirez","Orioles","1.53","15655"
"Ariel Jurado","Rangers","1.54","17030"
"Bryan Shaw","Rockies","1.79","8110"
"Wilmer Font","- - -","1.41","5257"
"Juan Nicasio","Mariners","1.38","7731"
"Joe Biagini","Blue Jays","1.67","13194"
"Jason Hammel","Royals","1.63","4538"
"Luis Garcia","Phillies","1.46","6984"
"Paul Sewald","Mets","1.51","13892"
"Chris Rusin","Rockies","1.50","9895"
"Homer Bailey","Reds","1.64","8362"
"Lucas Giolito","White Sox","1.48","15474"
"Josh Tomlin","Indians","1.48","9388"
"A.J. Cole","- - -","1.59","11467"
"Austin Bibens-Dirkx","Rangers","1.56","9559"
"Zach McAllister","- - -","1.49","2895"
"Drew Pomeranz","Red Sox","1.78","11426"
"Martin Perez","Rangers","1.78","6902"
"Jeff Samardzija","Giants","1.63","3254"
"Chris Volstad","White Sox","1.63","9901"
"Yovani Gallardo","- - -","1.63","8173"
"Jake McGee","Rockies","1.46","7550"
"Erasmo Ramirez","Mariners","1.40","10314"
"Drew Hutchison","- - -","1.78","10732"
"Matt Moore","Rangers","1.66","1890"
"Burch Smith","Royals","1.67","12784"
"Jacob Nix","Padres","1.54","17775"
"Luis Perdomo","Padres","1.88","14682"
